       1.0     18.701774      0.000000  -.1429545730E+00  -.7809941657E-01  -.4650174524E-02  0.2019095758E-02  0.8221835247E-02
       2.0     18.921924      2.149419  -.1359915532E+00  -.7137847353E-01  -.5740042077E-02  0.4128263681E-02  0.2403965540E-02
       3.0     18.710242      0.082670  -.1432242913E+00  -.7784089951E-01  -.3570516827E-02  0.2150217362E-02  0.6939610335E-02
       4.0     18.718709      0.165340  -.1432347259E+00  -.7760579791E-01  -.3575148934E-02  0.2119344921E-02  0.7337666058E-02
       5.0     18.727176      0.248010  -.1431597370E+00  -.7737970458E-01  -.3643094737E-02  0.2146727842E-02  0.6961334962E-02
       6.0     18.735644      0.330680  -.1430379375E+00  -.7715980179E-01  -.3764060442E-02  0.2193268767E-02  0.6523122080E-02
       7.0     18.744111      0.413350  -.1428868736E+00  -.7694121340E-01  -.3902755503E-02  0.2274522267E-02  0.6081117084E-02
       8.0     18.752578      0.496020  -.1427151285E+00  -.7672069053E-01  -.4046543268E-02  0.2375893062E-02  0.5657831673E-02
       9.0     18.761045      0.578690  -.1425272680E+00  -.7649655203E-01  -.4185415804E-02  0.2485989069E-02  0.5274088995E-02
      10.0     18.769513      0.661360  -.1423253790E+00  -.7626763052E-01  -.4324273032E-02  0.2601567947E-02  0.4918059451E-02
      11.0     18.777980      0.744030  -.1421099904E+00  -.7603339004E-01  -.4461550969E-02  0.2719991433E-02  0.4588517186E-02
      12.0     18.786447      0.826700  -.1418811477E+00  -.7579344157E-01  -.4587741685E-02  0.2835738065E-02  0.4290756595E-02
      13.0     18.794915      0.909370  -.1416388329E+00  -.7554807700E-01  -.4706887645E-02  0.2946239605E-02  0.4024192865E-02
      14.0     18.803382      0.992040  -.1413826421E+00  -.7529738398E-01  -.4818297166E-02  0.3052416374E-02  0.3786256129E-02
      15.0     18.811849      1.074710  -.1411120075E+00  -.7504158809E-01  -.4922509775E-02  0.3153440019E-02  0.3575318377E-02
      16.0     18.820316      1.157380  -.1408262398E+00  -.7478097418E-01  -.5019229022E-02  0.3249019850E-02  0.3388739307E-02
      17.0     18.828784      1.240050  -.1405247295E+00  -.7451586494E-01  -.5109377264E-02  0.3339158022E-02  0.3224715299E-02
      18.0     18.837251      1.322719  -.1402067570E+00  -.7424658013E-01  -.5193015037E-02  0.3423936781E-02  0.3081573930E-02
      19.0     18.845718      1.405389  -.1398716477E+00  -.7397346397E-01  -.5270554451E-02  0.3503457527E-02  0.2956950455E-02
      20.0     18.854186      1.488059  -.1395188059E+00  -.7369684755E-01  -.5342278222E-02  0.3578278935E-02  0.2849119075E-02
      21.0     18.862653      1.570729  -.1391475659E+00  -.7341701150E-01  -.5408260506E-02  0.3648572892E-02  0.2755497990E-02
      22.0     18.871120      1.653399  -.1387574211E+00  -.7313429325E-01  -.5468628660E-02  0.3714523569E-02  0.2675771131E-02
      23.0     18.879587      1.736069  -.1383476234E+00  -.7284895695E-01  -.5524285662E-02  0.3776153782E-02  0.2607620554E-02
